NPK_Tube_Blank_N_4.0mgL_1  :  ปริมาณ 4.0 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:27:29
1,4,4,4
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:27:42
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,14:27:54
3,11,2,1
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,30
3,255,15,30
3,255,15,30
Light Source Color - OFF	 , 29/03/2024,14:28:07
4,252,14,29
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:28:19
5,5,27,10
5,33,244,90
5,33,244,90
5,33,244,89
5,33,244,89
5,33,244,89
5,33,243,89
5,33,243,89
5,33,243,89
5,33,243,89
5,33,243,89
5,33,243,89
5,33,243,89
5,33,243,89
5,33,243,89
5,33,243,89
5,33,243,89
Light Source Color - OFF	 , 29/03/2024,14:28:32
6,29,217,80
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:28:44
7,2,14,45
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
Light Source Color - OFF	 , 29/03/2024,14:28:56
8,4,69,226
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:29:09
9,70,79,90
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:29:21
10,235,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,14:29:34
11,62,4,7
11,255,15,31
11,255,15,31
11,255,15,30
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
Light Source Color - OFF	 , 29/03/2024,14:29:46
12,204,12,24
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:29:59
13,10,66,24
13,33,244,90
13,33,244,89
13,33,244,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
13,33,243,89
Light Source Color - OFF	 , 29/03/2024,14:30:11
14,25,181,66
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:30:24
15,2,25,81
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
Light Source Color - OFF	 , 29/03/2024,14:30:36
