NPK_N_4.0mgL_1  :  ปริมาณ 4.0 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
0,6,36,13
Light Source Color - WHITE	 , 29/03/2024,15:03:23
1,6,36,13
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,15:03:35
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,15:03:48
3,1,1,0
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
3,255,18,38
Light Source Color - OFF	 , 29/03/2024,15:04:01
4,255,18,38
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,15:04:13
5,2,9,3
5,37,255,96
5,37,255,96
5,37,255,96
5,37,255,96
5,37,255,96
5,37,255,96
5,37,255,95
5,37,255,95
5,37,255,95
5,37,255,95
5,37,255,95
5,37,255,95
5,37,255,95
5,37,255,95
5,37,255,95
5,37,255,95
Light Source Color - OFF	 , 29/03/2024,15:04:26
6,37,255,95
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,15:04:38
7,2,9,28
7,5,79,255
7,5,79,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
7,5,80,255
Light Source Color - OFF	 , 29/03/2024,15:04:51
8,5,80,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,15:05:04
9,72,68,73
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,15:05:16
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,15:05:29
11,67,4,8
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
11,255,18,38
Light Source Color - OFF	 , 29/03/2024,15:05:41
12,255,18,38
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,15:05:54
13,10,64,23
13,37,255,96
13,37,255,96
13,37,255,96
13,37,255,96
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
13,37,255,95
Light Source Color - OFF	 , 29/03/2024,15:06:07
14,37,255,95
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,15:06:19
15,2,23,72
15,5,79,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
15,5,80,255
Light Source Color - OFF	 , 29/03/2024,15:06:32
