NPK_Tube_Blank_N_8.0mgL_1  :  ปริมาณ 8.0 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:49:31
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:49:43
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,14:49:56
3,10,1,1
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
3,255,16,31
Light Source Color - OFF	 , 29/03/2024,14:50:09
4,255,16,31
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:50:21
5,6,35,13
5,32,243,87
5,32,243,87
5,32,243,86
5,32,243,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
5,32,242,86
Light Source Color - OFF	 , 29/03/2024,14:50:34
6,32,242,86
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:50:46
7,2,22,72
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
7,5,93,255
Light Source Color - OFF	 , 29/03/2024,14:50:59
8,5,93,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:51:11
9,107,118,142
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:51:24
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,14:51:37
11,1,6,12
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
11,255,16,31
Light Source Color - OFF	 , 29/03/2024,14:51:49
12,255,16,31
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:52:02
13,1,1,0
13,32,243,87
13,32,243,87
13,32,243,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
13,32,242,86
Light Source Color - OFF	 , 29/03/2024,14:52:14
14,32,241,86
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:52:27
15,1,1,0
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
15,5,93,255
Light Source Color - OFF	 , 29/03/2024,14:52:40
