NPK_PO4_0.8mgL_1  :  ปริมาณ 0.8 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,12:28:59
1,1,1,0
1,102,202,255
1,102,201,255
1,101,201,255
1,101,201,255
1,101,200,255
1,101,200,255
1,100,200,255
1,100,200,255
1,100,200,255
1,100,200,255
1,100,200,255
1,100,200,255
1,100,200,255
1,100,200,255
1,100,200,255
1,99,199,255
Light Source Color - OFF	 , 29/03/2024,12:29:11
2,99,199,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,12:29:23
3,1,1,0
3,85,5,9
3,85,5,9
3,85,5,9
3,85,5,9
3,85,5,9
3,85,5,9
3,84,5,9
3,85,5,9
3,84,5,9
3,84,5,9
3,84,5,9
3,84,5,9
3,84,5,9
3,84,5,9
3,84,5,9
3,84,5,9
Light Source Color - OFF	 , 29/03/2024,12:29:35
4,84,5,9
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,12:29:47
5,1,1,0
5,17,133,51
5,17,133,51
5,17,133,51
5,17,133,51
5,17,133,51
5,17,133,51
5,17,132,51
5,17,132,50
5,17,132,50
5,17,132,50
5,17,132,50
5,17,132,50
5,17,132,50
5,17,132,50
5,17,132,50
5,17,132,50
Light Source Color - OFF	 , 29/03/2024,12:29:59
6,17,132,50
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,12:30:11
7,2,19,62
7,4,67,228
7,4,67,228
7,4,68,228
7,4,67,228
7,4,68,228
7,4,68,228
7,4,67,228
7,4,67,228
7,4,68,228
7,4,67,228
7,4,68,228
7,4,68,228
7,4,68,228
7,4,68,228
7,4,68,228
7,4,67,228
Light Source Color - OFF	 , 29/03/2024,12:30:23
8,4,68,228
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,12:30:35
9,23,44,60
9,102,201,255
9,101,201,255
9,100,200,255
9,100,200,255
9,100,200,255
9,100,200,255
9,100,200,255
9,100,200,255
9,100,200,255
9,99,199,255
9,99,199,255
9,99,199,255
9,99,199,255
9,99,199,255
9,99,199,255
9,99,199,255
Light Source Color - OFF	 , 29/03/2024,12:30:47
10,99,199,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,12:30:59
11,9,1,1
11,85,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
11,84,5,9
Light Source Color - OFF	 , 29/03/2024,12:31:11
12,84,5,9
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,12:31:23
13,2,6,2
13,17,133,51
13,17,133,51
13,17,132,51
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
13,17,132,50
Light Source Color - OFF	 , 29/03/2024,12:31:35
14,17,132,50
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,12:31:47
15,1,1,0
15,4,67,228
15,4,67,228
15,4,67,228
15,4,67,228
15,4,68,228
15,4,67,228
15,4,67,228
15,4,68,228
15,4,68,228
15,4,67,228
15,4,67,228
15,4,67,228
15,4,67,228
15,4,68,228
15,4,67,228
15,4,68,228
Light Source Color - OFF	 , 29/03/2024,12:31:59
