NPK_Tube_Blank_N_6.0mgL_1  :  ปริมาณ 6.0 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:35:05
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:35:18
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,14:35:30
3,68,4,8
3,253,14,28
3,253,14,28
3,252,14,28
3,252,14,28
3,252,14,28
3,251,14,28
3,251,14,28
3,251,14,28
3,251,14,28
3,251,14,28
3,251,14,28
3,251,14,28
3,251,14,28
3,251,14,28
3,251,14,28
3,251,14,28
Light Source Color - OFF	 , 29/03/2024,14:35:43
4,251,14,28
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:35:56
5,1,1,0
5,31,226,85
5,31,225,84
5,31,225,84
5,31,225,84
5,31,225,84
5,31,225,84
5,31,225,84
5,31,225,84
5,31,225,84
5,31,225,84
5,31,224,84
5,31,225,84
5,31,224,84
5,31,224,84
5,31,224,84
5,31,224,84
Light Source Color - OFF	 , 29/03/2024,14:36:08
6,31,224,84
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:36:21
7,3,29,95
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
Light Source Color - OFF	 , 29/03/2024,14:36:33
8,5,79,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:36:46
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:36:58
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,14:37:11
11,80,5,9
11,252,14,28
11,251,14,28
11,251,14,28
11,251,14,28
11,251,14,28
11,251,14,28
11,251,14,28
11,251,14,28
11,250,14,28
11,250,14,28
11,250,14,28
11,250,14,28
11,250,14,28
11,250,14,28
11,250,14,28
11,250,14,28
Light Source Color - OFF	 , 29/03/2024,14:37:23
12,234,13,26
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:37:36
13,1,1,0
13,31,226,85
13,31,225,84
13,31,225,84
13,31,225,84
13,31,225,84
13,31,225,84
13,31,224,84
13,31,224,84
13,31,224,84
13,31,224,84
13,31,224,84
13,31,224,84
13,31,224,84
13,31,224,84
13,31,224,84
13,31,224,84
Light Source Color - OFF	 , 29/03/2024,14:37:48
14,31,224,84
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:38:01
15,1,1,0
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
Light Source Color - OFF	 , 29/03/2024,14:38:13
