NPK_PO4_0.2mgL_1  :  ปริมาณ 0.2 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,11:39:59
7,1,1,0
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
7,5,92,255
Light Source Color - OFF	 , 29/03/2024,11:40:12
8,5,92,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,11:40:24
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,11:40:37
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,11:40:49
11,1,1,0
11,237,13,26
11,236,13,26
11,236,13,26
11,236,13,26
11,236,13,26
11,236,13,26
11,236,13,26
11,236,13,26
11,236,13,26
11,236,13,26
11,236,13,26
11,235,13,26
11,235,13,26
11,235,13,26
11,235,13,26
11,235,13,26
11,235,13,26
Light Source Color - OFF	 , 29/03/2024,11:41:01
12,235,13,26
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,11:41:14
13,1,1,0
13,32,237,89
13,32,237,89
13,32,237,89
13,32,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
13,31,236,88
Light Source Color - OFF	 , 29/03/2024,11:41:26
14,31,236,88
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,11:41:39
15,1,1,0
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
15,5,92,255
Light Source Color - OFF	 , 29/03/2024,11:41:51
