Color,Intensity
White,39
White,42
White,44
White,39
White,42
White,40
White,40
White,39
White,44
Red,15
Red,13
Red,14
Red,14
Red,12
Red,13
Red,13
Red,13
Red,13
Red,14
Green,10
Green,12
Green,11
Green,12
Green,11
Green,11
Green,11
Green,12
Green,11
Green,12
Blue,25
Blue,24
Blue,26
Blue,25
Blue,25
Blue,22
Blue,26
Blue,23
Blue,26
Blue,27
White,39
White,44
White,40
White,39
White,42
White,40
White,41
White,42
White,39
White,42
Red,15
Red,14
Red,14
Red,13
Red,16
Red,14
Red,13
Red,15
Red,11
Red,15
Off,3
White,40
White,40
White,43
White,42
White,40
White,42
White,39
White,42
White,40
Red,14
Red,14
Red,13
Red,13
Red,13
Red,13
Red,15
Red,14
Red,14
Red,14
Green,10
Green,12
Green,12
Green,12
Green,12
Green,12
Green,12
Green,10
Green,12
Green,11
Blue,23
Blue,24
Blue,23
Blue,25
Blue,23
Blue,24
Blue,26
Blue,25
Blue,24
Blue,24
White,44
White,39
White,42
White,39
White,41
White,43
White,40
White,40
White,41
White,39
Red,16
Red,13
Red,13
Red,14
Red,13
Red,14
Red,13
Red,12
Red,15
Red,12
Off,3
White,44
White,42
White,42
White,42
White,43
White,42
White,41
White,43
White,41
Red,15
Red,15
Red,15
Red,12
Red,14
Red,14
Red,12
Red,15
Red,14
Red,13
Green,11
Green,11
Green,12
Green,11
Green,11
Green,11
Green,12
Green,12
Green,11
Green,11
Blue,26
Blue,28
Blue,27
Blue,24
Blue,26
Blue,26
Blue,24
Blue,25
Blue,26
Blue,27
White,41
White,45
White,46
White,42
White,42
White,40
White,42
White,42
White,47
White,44
Red,14
Red,13
Red,16
Red,14
Red,14
Red,14
Red,14
Red,14
Red,14
Red,14
Off,4
White,45
White,44
White,43
White,43
White,46
White,43
White,43
White,43
White,42
Red,13
Red,14
Red,14
Red,13
Red,15
Red,16
Red,14
Red,14
Red,16
Red,14
Green,13
Green,14
Green,12
Green,12
Green,13
Green,12
Green,11
Green,11
Green,11
Green,12
Blue,25
Blue,28
Blue,28
Blue,26
Blue,26
Blue,26
Blue,25
Blue,25
Blue,26
Blue,30
White,44
White,45
White,45
White,45
White,45
White,48
White,48
White,44
White,47
White,46
Red,13
Red,14
Red,14
Red,14
Red,15
Red,16
Red,17
Red,16
Red,15
Red,14
Off,5
White,48
White,45
White,48
White,48
White,47
White,47
White,49
White,45
White,47
Red,14
Red,14
Red,15
Red,15
Red,15
Red,16
Red,16
Red,15
Red,16
Red,13
Green,12
Green,14
Green,11
Green,14
Green,13
Green,14
Green,11
Green,13
Green,12
Green,11
Blue,27
Blue,27
Blue,28
Blue,28
Blue,31
Blue,30
Blue,28
Blue,31
Blue,30
Blue,27
White,46
White,47
White,48
White,48
White,49
White,51
White,50
White,48
White,47
White,50
Red,17
Red,15
Red,15
Red,17
Red,14
Red,15
Red,15
Red,17
Red,14
Red,16
Off,5
White,48
White,51
White,48
White,51
White,49
White,47
White,48
White,48
White,51
Red,15
Red,15
Red,17
Red,16
Red,15
Red,17
Red,14
Red,15
Red,18
Red,15
Green,13
Green,14
Green,12
Green,11
Green,11
Green,12
Green,13
Green,11
Green,14
Green,14
Blue,32
Blue,30
Blue,30
Blue,30
Blue,30
Blue,33
Blue,30
Blue,31
Blue,33
Blue,28
White,54
White,51
White,52
White,53
White,51
White,51
White,53
White,53
White,52
White,51
Red,18
Red,16
Red,17
Red,15
Red,15
Red,16
