Color,Intensity
White,719
White,724
White,728
White,728
White,729
White,727
White,727
White,719
White,720
Red,292
Red,292
Red,288
Red,293
Red,294
Red,293
Red,292
Red,292
Red,292
Red,291
Green,150
Green,152
Green,154
Green,155
Green,154
Green,153
Green,155
Green,151
Green,151
Green,156
Blue,312
Blue,307
Blue,310
Blue,310
Blue,311
Blue,308
Blue,313
Blue,306
Blue,307
Blue,314
White,725
White,721
White,721
White,724
White,726
White,721
White,727
White,713
White,724
White,723
Red,292
Red,297
Red,292
Red,293
Red,292
Red,292
Red,294
Red,291
Red,294
Red,290
Off,5
White,718
White,718
White,720
White,718
White,719
White,724
White,722
White,724
White,723
Red,291
Red,291
Red,293
Red,294
Red,292
Red,299
Red,290
Red,296
Red,291
Red,297
Green,154
Green,150
Green,151
Green,151
Green,147
Green,153
Green,152
Green,148
Green,151
Green,150
Blue,315
Blue,310
Blue,308
Blue,311
Blue,316
Blue,65
Blue,66
Blue,70
Blue,69
Blue,69
White,97
White,99
White,94
White,95
White,94
White,93
White,90
White,91
White,88
White,92
Red,22
Red,23
Red,25
Red,24
Red,27
Red,26
Red,25
Red,28
Red,24
Red,24
Off,6
White,84
White,88
White,89
White,84
White,85
White,85
White,89
White,107
White,111
Red,34
Red,30
Red,34
Red,47
Red,41
Red,38
Red,42
Red,42
Red,59
Red,57
Green,23
Green,23
Green,25
Green,27
Green,30
Green,27
Green,26
Green,30
Green,28
Green,29
Blue,78
Blue,77
Blue,75
Blue,75
Blue,81
Blue,76
Blue,81
Blue,77
Blue,77
Blue,74
White,151
White,150
White,154
White,159
White,158
White,151
White,157
White,151
White,151
White,159
Red,57
Red,58
Red,62
Red,60
Red,58
Red,63
Red,56
Red,55
