Color,Intensity
White,407
White,405
White,410
White,407
White,408
White,405
White,405
White,404
White,411
Red,123
Red,121
Red,119
Red,123
Red,124
Red,122
Red,119
Red,125
Red,121
Red,119
Green,22
Green,24
Green,22
Green,23
Green,25
Green,23
Green,23
Green,22
Green,21
Green,22
Blue,277
Blue,279
Blue,279
Blue,281
Blue,282
Blue,277
Blue,273
Blue,274
Blue,279
Blue,281
White,407
White,408
White,412
White,405
White,406
White,409
White,406
White,414
White,407
White,410
Red,119
Red,123
Red,119
Red,123
Red,124
Red,121
Red,119
Red,121
Red,123
Red,119
Off,5
White,407
White,412
White,410
White,410
White,402
White,405
White,411
White,400
White,409
Red,119
Red,121
Red,121
Red,123
Red,122
Red,119
Red,124
Red,120
Red,119
Red,123
Green,23
Green,21
Green,23
Green,25
Green,23
Green,22
Green,25
Green,26
Green,23
Green,25
Blue,279
Blue,271
Blue,276
Blue,275
Blue,274
Blue,278
Blue,271
Blue,273
Blue,277
Blue,275
White,408
White,405
White,404
White,407
White,408
White,403
White,405
White,404
White,403
White,409
Red,121
Red,121
Red,118
Red,119
Red,122
Red,118
Red,123
Red,118
Red,116
Red,117
Off,6
White,408
White,406
White,408
White,398
White,405
White,404
White,405
White,400
White,405
Red,121
Red,122
Red,117
Red,122
Red,117
Red,117
Red,120
Red,118
Red,120
Red,117
Green,24
Green,25
Green,23
Green,22
Green,24
Green,21
Green,23
Green,23
Green,23
Green,21
Blue,274
Blue,275
Blue,274
Blue,276
Blue,275
Blue,272
Blue,278
Blue,279
Blue,279
Blue,279
White,401
White,401
White,401
White,403
White,401
White,410
White,404
White,402
White,398
White,401
Red,121
Red,117
Red,117
Red,124
Red,117
Red,121
Red,123
Red,120
Red,122
Red,120
Off,6
White,405
White,401
White,402
White,406
White,402
White,400
White,407
White,406
White,398
Red,118
Red,119
Red,119
Red,116
Red,122
Red,116
Red,117
Red,121
Red,120
Red,118
Green,22
Green,23
Green,23
Green,23
Green,23
Green,24
Green,24
Green,23
Green,24
Green,22
Blue,273
Blue,274
Blue,276
Blue,277
Blue,279
Blue,278
Blue,277
Blue,274
Blue,275
Blue,277
White,401
White,404
White,403
White,403
White,399
White,404
White,403
White,401
White,402
White,405
Red,120
Red,120
Red,122
Red,116
Red,115
Red,118
Red,116
Red,118
Red,118
Red,121
Off,7
White,400
White,398
White,399
White,402
White,406
White,401
White,403
White,402
White,402
Red,117
Red,119
Red,116
Red,116
Red,120
Red,115
Red,117
Red,122
Red,116
Red,116
Green,25
Green,23
Green,23
Green,23
Green,21
Green,25
Green,24
Green,25
Green,24
Green,22
Blue,271
Blue,272
Blue,274
Blue,274
Blue,274
Blue,273
Blue,281
Blue,271
Blue,273
Blue,275
White,401
White,399
White,398
White,401
White,399
White,400
White,406
White,401
White,406
White,394
Red,122
Red,121
Red,119
Red,123
Red,120
Red,117
Red,117
Red,119
Red,120
Red,115
Off,6
White,405
White,401
White,398
White,405
White,406
White,402
White,401
White,399
White,404
Red,116
Red,118
Red,121
Red,119
Red,115
Red,114
Red,118
Red,116
Red,120
Red,117
Green,23
Green,22
Green,23
Green,24
Green,21
Green,25
Green,23
Green,24
Green,21
Green,23
Blue,273
Blue,276
Blue,276
Blue,277
Blue,272
Blue,275
Blue,278
Blue,273
Blue,271
Blue,274
White,404
White,395
White,404
White,396
White,396
White,403
White,400
White,401
White,401
White,399
Red,115
Red,119
Red,118
Red,118
Red,118
Red,121
Red,115
Red,119
Red,116
Red,117
Off,7
White,399
White,404
White,399
White,405
White,401
White,396
White,402
White,402
White,403
Red,117
Red,118
Red,119
Red,116
Red,120
Red,119
Red,114
Red,122
Red,115
Red,118
Green,22
Green,25
Green,22
Green,25
Green,24
Green,22
Green,21
Green,25
Green,22
Green,23
Blue,272
Blue,273
Blue,277
Blue,269
Blue,276
Blue,274
Blue,275
Blue,274
Blue,273
Blue,276
White,397
White,399
White,396
White,398
White,400
White,398
White,394
White,402
White,397
White,392
Red,119
Red,115
Red,120
Red,117
Red,117
Red,119
Red,118
Red,117
Red,114
Red,118
Off,5
White,396
White,404
White,401
White,398
White,403
White,401
White,397
White,404
White,405
Red,113
Red,115
Red,119
Red,118
Red,115
Red,120
Red,117
Red,115
Red,117
Red,118
Green,26
Green,24
Green,22
Green,22
Green,21
Green,25
Green,23
Green,24
Green,25
Green,23
Blue,279
Blue,276
Blue,271
Blue,272
Blue,278
Blue,271
Blue,272
Blue,277
Blue,273
Blue,276
White,402
White,404
White,398
White,398
White,401
White,406
White,401
White,398
White,405
White,397
Red,117
Red,115
Red,119
Red,121
Red,121
Red,114
Red,116
Red,120
Red,119
Red,115
Off,6
White,396
White,400
White,400
White,401
White,395
White,397
White,396
White,401
White,392
Red,116
Red,119
Red,114
Red,119
Red,116
Red,117
Red,118
Red,117
Red,113
Red,117
Green,23
Green,21
Green,23
Green,21
Green,24
Green,25
Green,25
Green,24
Green,22
Green,22
Blue,273
Blue,278
Blue,272
Blue,268
Blue,269
Blue,272
Blue,277
Blue,275
Blue,272
Blue,272
White,396
White,401
White,403
White,399
White,402
White,398
White,399
White,402
White,401
White,395
Red,116
Red,116
Red,113
Red,116
Red,118
Red,115
Red,119
Red,116
Red,117
Red,119
Off,7
White,398
White,397
White,392
White,398
White,402
White,400
White,391
White,397
White,398
Red,114
Red,117
Red,116
Red,118
Red,114
Red,113
Red,116
Red,117
Red,117
Red,117
Green,26
Green,23
Green,22
Green,22
Green,22
Green,22
Green,23
Green,21
Green,25
Green,23
Blue,270
Blue,271
Blue,275
Blue,272
Blue,275
Blue,274
Blue,273
Blue,273
Blue,276
Blue,275
White,395
White,398
White,395
White,399
White,395
White,401
White,393
White,399
White,400
White,396
Red,114
Red,114
Red,114
Red,116
Red,113
Red,116
Red,119
Red,116
Red,118
Red,117
Off,6
White,398
White,395
White,400
White,394
White,395
White,397
White,398
White,395
White,395
Red,120
Red,119
Red,116
Red,116
Red,117
Red,116
Red,114
Red,118
Red,118
Red,114
Green,23
Green,23
Green,23
Green,23
Green,25
Green,22
Green,23
Green,25
Green,20
Green,23
Blue,278
Blue,272
Blue,277
Blue,267
Blue,269
Blue,270
Blue,278
Blue,274
Blue,272
Blue,275
White,395
White,399
White,401
White,394
White,402
White,391
White,397
White,397
White,399
White,393
Red,114
Red,114
Red,113
Red,116
Red,115
Red,112
Red,117
Red,113
Red,116
Red,117
Off,5
White,394
White,399
White,397
White,394
White,394
White,396
White,398
White,395
White,394
Red,114
Red,113
Red,116
Red,112
Red,115
Red,113
Red,114
Red,114
Red,117
Red,114
Green,22
Green,23
Green,23
Green,25
Green,23
Green,23
Green,23
Green,25
Green,25
Green,23
Blue,271
Blue,277
Blue,272
Blue,275
Blue,271
Blue,265
Blue,273
Blue,275
Blue,269
Blue,271
White,393
White,400
White,394
White,394
White,399
White,397
White,394
White,399
White,397
White,396
Red,119
Red,116
Red,116
Red,118
Red,112
Red,113
Red,115
