Color,Intensity
White,76
White,77
White,75
White,77
White,77
White,76
White,76
White,81
White,75
Red,18
Red,21
Red,20
Red,19
Red,18
Red,19
Red,19
Red,22
Red,20
Red,19
Green,12
Green,13
Green,14
Green,14
Green,13
Green,11
Green,11
Green,13
Green,13
Green,12
Blue,55
Blue,57
Blue,56
Blue,59
Blue,58
Blue,53
Blue,53
Blue,55
Blue,57
Blue,53
White,75
White,74
White,75
White,75
White,79
White,77
White,77
White,82
White,79
White,75
Red,19
Red,20
Red,21
Red,19
Red,22
Red,21
Red,19
Red,19
Red,21
Red,21
Off,5
White,83
White,80
White,83
White,84
White,80
White,81
White,83
White,81
White,82
Red,20
Red,19
Red,19
Red,22
Red,21
Red,18
Red,22
Red,20
Red,20
Red,18
Green,14
Green,14
Green,14
Green,13
Green,14
Green,14
Green,11
Green,13
Green,14
Green,11
Blue,60
Blue,63
Blue,66
Blue,61
Blue,65
Blue,61
Blue,66
Blue,61
Blue,59
Blue,61
White,85
White,84
White,87
White,86
White,83
White,87
White,88
White,83
White,82
White,86
Red,21
Red,21
Red,23
Red,21
Red,21
Red,17
Red,19
Red,22
Red,18
Red,22
Off,6
White,88
White,85
White,85
White,89
White,83
White,83
White,87
White,88
White,85
Red,23
Red,23
Red,21
Red,20
Red,19
Red,23
Red,19
Red,21
Red,22
Red,20
Green,11
Green,14
Green,13
Green,12
Green,13
Green,16
Green,13
Green,11
Green,16
Green,13
Blue,61
Blue,62
Blue,65
Blue,66
Blue,67
Blue,63
Blue,62
Blue,60
Blue,67
Blue,64
White,84
White,87
White,86
White,90
White,83
White,83
White,85
White,86
White,89
White,86
Red,20
Red,18
Red,21
Red,21
Red,18
Red,20
Red,21
Red,23
Red,19
Red,21
Off,5
White,83
White,85
White,88
White,85
White,87
White,84
White,82
White,90
White,86
Red,19
Red,23
Red,22
Red,19
Red,19
Red,20
Red,18
Red,20
Red,21
Red,20
Green,13
Green,13
Green,13
Green,12
Green,16
Green,14
Green,15
Green,13
Green,14
Green,13
Blue,61
Blue,63
Blue,63
Blue,65
Blue,64
Blue,67
Blue,64
Blue,60
Blue,64
Blue,69
White,84
White,89
White,86
White,87
White,87
White,85
White,85
White,90
White,90
White,82
Red,19
Red,21
Red,20
Red,19
Red,20
Red,20
Red,22
Red,21
Red,20
Red,18
Off,5
White,86
White,86
White,85
White,90
White,86
White,89
White,88
White,89
White,83
Red,22
Red,23
Red,21
Red,19
Red,23
Red,21
Red,20
Red,19
Red,19
Red,19
Green,13
Green,13
Green,15
Green,13
Green,13
Green,14
Green,14
Green,12
Green,15
Green,14
Blue,62
Blue,65
Blue,67
Blue,65
Blue,65
Blue,62
Blue,60
Blue,62
Blue,61
Blue,65
White,85
White,85
White,84
White,89
White,87
White,84
White,88
White,90
White,83
White,84
Red,21
Red,20
Red,21
Red,19
Red,20
Red,19
Red,20
Red,21
Red,21
Red,21
Off,5
White,89
White,86
White,87
White,86
White,88
White,90
White,82
White,86
White,89
Red,18
Red,20
Red,21
Red,19
Red,19
Red,21
Red,20
Red,19
Red,23
Red,19
Green,13
Green,14
Green,11
Green,12
Green,16
Green,13
Green,14
Green,15
Green,13
Green,13
Blue,64
Blue,63
Blue,61
Blue,61
Blue,64
Blue,62
Blue,60
Blue,65
Blue,61
Blue,60
White,85
White,83
White,83
White,87
White,88
White,85
White,86
White,86
White,86
White,85
Red,22
Red,19
Red,18
Red,22
Red,20
Red,19
Red,21
Red,21
Red,18
Red,19
Off,7
White,83
White,83
White,86
White,85
White,81
White,88
White,85
White,83
White,86
Red,18
Red,19
Red,23
Red,22
Red,20
Red,20
Red,20
Red,19
Red,23
Red,21
Green,14
Green,15
Green,14
Green,12
Green,15
Green,15
Green,11
Green,14
Green,12
Green,13
Blue,58
Blue,63
Blue,59
Blue,60
Blue,59
Blue,61
Blue,59
Blue,62
Blue,61
Blue,61
White,85
White,81
White,84
White,81
White,79
White,82
White,84
White,81
White,78
White,85
Red,19
Red,18
Red,20
Red,22
Red,20
Red,17
Red,22
Red,18
Red,19
Red,21
Off,8
White,84
White,81
White,81
White,82
White,76
White,79
White,81
White,79
White,82
Red,21
Red,19
Red,19
Red,20
Red,19
Red,22
Red,20
Red,19
Red,19
Red,22
Green,12
Green,12
Green,14
Green,13
Green,12
Green,16
Green,11
Green,16
Green,13
Green,14
Blue,60
Blue,59
Blue,61
Blue,61
Blue,56
Blue,55
Blue,58
Blue,61
Blue,60
Blue,55
White,81
White,83
White,83
White,81
White,77
White,76
White,78
White,81
White,75
White,79
Red,19
Red,19
Red,21
Red,18
Red,21
Red,22
Red,21
Red,20
Red,21
Red,18
Off,7
White,77
White,77
White,78
White,75
White,78
White,78
White,74
White,77
White,78
Red,19
Red,22
Red,21
Red,21
Red,19
Red,20
Red,19
Red,22
Red,17
Red,20
Green,12
Green,14
Green,15
Green,12
Green,11
Green,13
Green,13
Green,13
Green,14
Green,13
Blue,52
Blue,54
Blue,57
Blue,55
Blue,51
Blue,54
Blue,54
Blue,56
Blue,54
Blue,51
White,75
White,74
White,76
White,73
White,72
White,77
White,77
White,75
White,75
White,75
Red,18
Red,20
Red,19
Red,18
Red,22
Red,19
Red,20
Red,22
Red,20
Red,19
Off,7
White,70
White,76
White,70
White,71
White,74
White,73
White,74
White,70
White,75
Red,21
Red,20
Red,20
Red,20
Red,21
Red,21
Red,19
Red,19
Red,22
Red,19
Green,14
Green,12
