NPK_PO4_6.0mgL_0  :  ปริมาณ 6.0 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,12:50:50
1,1,1,0
1,106,200,255
1,106,200,255
1,106,200,255
1,105,199,255
1,105,199,255
1,105,199,255
1,105,199,255
1,105,199,255
1,104,199,255
1,104,199,255
1,104,199,255
1,104,198,255
1,104,198,255
1,104,198,255
1,104,198,255
1,104,198,255
Light Source Color - OFF	 , 28/03/2024,12:51:03
2,102,196,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,12:51:15
3,1,1,0
3,88,5,9
3,88,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
3,87,5,9
Light Source Color - OFF	 , 28/03/2024,12:51:27
4,76,5,8
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,12:51:39
5,1,1,0
5,18,134,53
5,18,134,53
5,18,134,53
5,18,134,53
5,18,134,53
5,18,133,53
5,18,133,53
5,18,133,53
5,18,133,53
5,18,133,53
5,18,133,52
5,18,133,52
5,18,133,52
5,18,133,52
5,18,133,52
5,18,133,52
Light Source Color - OFF	 , 28/03/2024,12:51:52
6,14,105,41
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,12:52:04
7,1,1,0
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
7,4,65,224
Light Source Color - OFF	 , 28/03/2024,12:52:16
8,3,47,162
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,12:52:29
9,1,1,0
9,105,199,255
9,104,198,255
9,104,198,255
9,103,198,255
9,103,198,255
9,103,198,255
9,102,197,255
9,102,197,255
9,102,197,255
9,102,197,255
9,102,197,255
9,102,197,255
9,102,197,255
9,102,197,255
9,102,197,255
9,102,197,255
Light Source Color - OFF	 , 28/03/2024,12:52:41
10,71,137,192
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,12:52:53
11,1,1,0
11,87,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
11,86,5,9
Light Source Color - OFF	 , 28/03/2024,12:53:05
12,86,5,9
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,12:53:18
13,1,1,0
13,18,133,52
13,18,133,52
13,18,133,52
13,18,133,52
13,18,133,52
13,18,132,52
13,18,132,52
13,18,132,52
13,18,132,52
13,18,132,52
13,18,132,52
13,18,132,52
13,18,132,52
13,18,132,52
13,18,132,52
13,18,132,52
Light Source Color - OFF	 , 28/03/2024,12:53:30
14,18,132,52
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,12:53:42
15,1,1,0
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,223
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
15,4,65,224
Light Source Color - OFF	 , 28/03/2024,12:53:55
