NPK_PO4_0.2mgL_0  :  ปริมาณ 0.2 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:27:40
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 28/03/2024,11:27:52
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,11:28:05
3,71,4,8
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
Light Source Color - OFF	 , 28/03/2024,11:28:17
4,255,14,29
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,11:28:29
5,4,22,8
5,34,252,94
5,34,252,94
5,34,252,94
5,34,251,94
5,34,251,94
5,34,251,94
5,34,251,94
5,34,251,94
5,34,251,94
5,34,251,94
5,34,251,94
5,34,251,94
5,34,250,93
5,34,250,93
5,34,250,93
5,34,250,93
Light Source Color - OFF	 , 28/03/2024,11:28:41
6,34,250,93
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,11:28:54
7,1,1,0
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
7,5,98,255
Light Source Color - OFF	 , 28/03/2024,11:29:06
8,5,98,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:29:19
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 28/03/2024,11:29:31
10,239,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,11:29:43
11,1,1,0
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
11,255,14,29
Light Source Color - OFF	 , 28/03/2024,11:29:55
12,255,14,29
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,11:30:08
13,7,47,18
13,34,251,94
13,34,251,94
13,34,250,93
13,34,250,93
13,34,250,93
13,34,250,93
13,34,250,93
13,34,250,93
13,34,250,93
13,34,250,93
13,34,250,93
13,34,250,93
13,34,249,93
13,34,249,93
13,34,249,93
13,34,249,93
Light Source Color - OFF	 , 28/03/2024,11:30:20
14,34,249,93
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,11:30:33
15,1,1,0
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
15,5,98,255
Light Source Color - OFF	 , 28/03/2024,11:30:45
